企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,配信目的
株式会社ウテナ,ミーアンドハ―,ミーアンドハ―,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7235852232489504008?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,前髪パウダー,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwRvV3/,配信終了,動画視聴
花王株式会社,Liese,ストレートローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7239559952082291970?_r=1&_t=8eJB5jA2M8F,配信中,動画視聴
花王株式会社,ビオレＺ,さらひや肌感ジュレ,日用品,https://www.tiktok.com/@tobuy_desu/video/7241036986046237960?_r=1&_t=8eJB7h1LKUs,配信終了,動画視聴
サラヤ株式会社,ラカント,低糖質ケアスムージー,食品,https://vt.tiktok.com/ZSLHwWK7K/,配信中,動画視聴
アンド・ナイン株式会社,プルント,プルント（うねり訴求）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwMY91/,配信中,動画視聴
アンド・ナイン株式会社,プルント,プルント（香り訴求）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwMwtt/,配信中,動画視聴
花王株式会社,Primavista,あぶらとりパウダー,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7199552272488058114?lang=ja-JP,配信中,動画視聴
ピアス株式会社,パラドゥ,アイブロウマスカラ,メイクアップ,https://vt.tiktok.com/ZSLyKchcK/,配信中,動画視聴
青山商事株式会社,洋服の青山,ブラウス,その他,https://vt.tiktok.com/ZSLHwPdAo/,配信中,動画視聴
ピアス株式会社,パラドゥ,ペンシルアイライナー,メイクアップ,https://vt.tiktok.com/ZSLyKtGh4/,配信中,動画視聴
楽天グループ株式会社,韓国コスメフェス,韓国コスメフェス,その他,https://vt.tiktok.com/ZSLyaHjAC/,配信中,動画視聴
花王株式会社,エッセンシャル,ウォータートリートメント,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7252144797786361096?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,動画視聴
花王株式会社,Liese,泡カラー（HERO）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSNhskqpw/,配信中,動画視聴
花王株式会社,Liese,泡カラー（HUB）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSNhskHNS/,配信中,動画視聴
花王株式会社,エッセンシャル,バリアシャンプー・トリートメント,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7258144556951080200?lang=ja-JP,配信中,動画視聴
花王株式会社,ケープ,キープウォーター,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7264774002525113601?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,動画視聴
花王株式会社,Liese,前髪パウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7270349519273905416?lang=ja-JP,配信中,動画視聴
楽天グループ株式会社,楽天ラグジュアリービューティー,韓国楽天コスメ,その他,https://www.tiktok.com/@tobuy_desu/video/7273767280629026055?lang=ja-JP,配信中,動画視聴
Ripre/ver1,,,その他,https://www.tiktok.com/@tobuy_desu/video/7274806520792009986?lang=ja-JP,配信中,動画視聴
株式会社カネボウ化粧品	,TWANY,リズムシームレスウェア,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7277395731550440711?lang=ja-JP,配信中,動画視聴
サラヤ株式会社,へるしごはん,へるしごはん,食品,https://www.tiktok.com/@moshiyome_tobuy/video/7280444822517845256?lang=ja-JP,配信中,動画視聴
エステー株式会社,消臭力,消臭スプレー,日用品,https://www.tiktok.com/@tobuy_desu/video/7280732390178180370?lang=ja-JP,配信中,動画視聴
株式会社創通メディカル,マイトレックス,ヘッドスパプロ,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7280784940856298760?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,動画視聴
Ripre/ver2,,,その他,https://www.tiktok.com/@tobuy_desu/video/7281089032824622337?lang=ja-JP,配信中,動画視聴
花王株式会社,Primavista,デイトリートメントバーム,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7281558157015420178?lang=ja-JP,配信中,動画視聴
花王株式会社,バブ,あふだけ,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7282581590654471425?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,動画視聴
花王株式会社,Primavista,スキンプロテクトベース,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7285246510931954962?lang=ja-JP,配信中,動画視聴
株式会社ファンケル,	FANCL,カロリミットブレンド茶,食品,https://www.tiktok.com/@tobuy_desu/video/7286341027714190594?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7288170558582230274?lang=ja-JP,配信中,動画視聴
イミュ株式会社,naturie,,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7289040341007748359?lang=ja-JP,配信中,動画視聴
花王株式会社,Primavista,デイトリートメント２本目,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7288970269174140178?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,ケアナボン,ケアナボン,日用品,https://www.tiktok.com/@tobuy_desu/video/7289296808495402247,配信中,動画視聴
小林製薬株式会社,命の母,命の母ホワイト,日用品,https://www.tiktok.com/@tobuy_desu/video/7290779312666463490?lang=ja-JP,配信中,動画視聴
株式会社リンガーハット,リンガーハット,かきちゃんぽん,食品,https://www.tiktok.com/@tobuy_desu/video/7291500275142003976?lang=ja-JP,配信中,動画視聴
株式会社ウテナ,utena,ゆず油,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7292998222581091592?lang=ja-JP,配信中,動画視聴
