video_id,num_texts,avg_size,avg_color_r,avg_color_g,avg_color_b,frame_count,keywords,sentiment,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
33,227,1775.2775330396476,160.66311039030316,148.13453948278632,199.18479044184642,494,ひ TikTok tobuy desu れる 学 夏 ひ TikTok tobuy desu 全 夏 AO VA フ opye desu 旬 mm こす 放 N 個人 台 政 効果 保証 盾 入 応 語 想 効果 保 生 ひ TikTok tobuy desu 量 想 効果 抹 証 いで 時 く ム ズム 和 セツ ひ TikTok tobuy desu 保 症 いで ど ぐ たく 光 セ ひ TikTok tobuy desu choosy lips 衝 時 罰 po ho OS マテ ンション 演 げ W hoosy サ ア アイ テム lips く ど OS choosy lips choosy ゃ goodnight jerry Pack グッ ドナ イト ジェ リー バッ ク 稼 呈 マ 軸 s bell 他 choosy lips 新 登場 choosymoist グッ ドナ イト ジェ リー パッ ク メイ ク 好 め ス キン ケア 誕生 人 気 集め choosymoist シリ ー ズ 新た アイ テム 仲間 入り WW ひ TikTok tobuy desu tobuy desu,0.0,0.0,0.0,0.0,0.0,0.9940384030342102,0.0,0.0,0.0,0.0,0.0
34,55,2657.2,119.36189439652303,125.2826405400189,135.65609578592526,487,デパ コス 級 感動 グ ァ ャ ン プー コン ディ ショ ナー ひ tikte 培 YO 仕上 り イ メー ジ tobuy desi 仕上 り イ メー ジ etobuy esu tobuy desu H 誠 びび TikTok tobuy desu tktok tobuy desu a び TikTok 香り 感 tobuy desu tobuy des 絡 び riktog,0.0,0.0,0.0,0.0,0.0,0.0,0.9836316108703613,0.0,0.0,0.0,0.0
36,92,958.0978260869565,148.32791694188035,159.35695956072678,175.54289089396352,447,GI 語 只 作 ス 効果 保証 いで クレ イル バック ドウ イアー ひ TikTok ンプ そ qtobuy desu 個人 感想 効果 保証 いで 吊 blsl SD TOP クレ イハ バック 分 くだ け 所 内 つる 肌 クレ イ パ ッ ク ー 商品 情報 ちら ビ フ ェ ス タ 関す web ア ン ケ ー ト,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984995424747467,0.0,0.0
38,47,761.0212765957447,126.87059370619241,128.14922436760946,132.4973180135832,618,ルル hoam メイ ベリ ン ラ カ ラ ー アイ ライ ナー キャ メル ペー ジュ 円 メイ ベリ ン ウル トラ カラ ー アイ ライ ナー キャ ユ tobuy desu 滅 昌 toobuy desu New YO 人 SNK ひ TikTok tobuy desu tobuy desu,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804278016090393
39,156,2355.602564102564,134.97134120011697,136.2183466609138,143.16239302647824,476,tktok 博 buy desu WA パグ ひ TikTok tobuy desu ウ ァ ジ 記 活 め ヲ 東 攻 ジー ラージ ヲ 祖 ソ ンション コン シー ラー 用 ー ひ fikto tobuy desu イィ ッ ト 隆 影 ブラ ン 人 ESP KK 人 導 ラ ン ptok tobuy de N ヽ W 全開 千 失 取 g 時 ウラ 用 使 了 ー 個人 屈 想 効果 保 記す 直 輸 フ ィ ル ター カバ ー ブ ラン 隔 ン syo 肌 誕 生 ひ TikTok tobuy desu フ ィ ル ター カバ ー ブ ラ シ a ルター 並み gg 肌 誕 びび TikTok tobuy desu 誤 維 GS c ひ TikTok tobuy desu,0.0,0.0,0.0,0.0,0.0,0.0,0.9924347996711731,0.0,0.0,0.0,0.0
40,136,2203.169117647059,155.2713347350153,168.74385926055763,178.85429049104073,573,彰 細い 限 ぐ kgcv CVS 本 昌 眼 x RI ビタ ミン c ビ タ ミ ン Ar 村 本 人 ー ツ 誠 KG sddorino 朝 分 オー ルイ ン ワ ンマ スク fl ED 計 内 っ ー keo 朝 分 チー ルイ ン ワ ンマ スク le ME Ra ー 萌 洗 且 がら 人 eeidd 地 チノ ー ル 区 大 め 守 人 tobuyzdesu 分 オー ルイ ン ワ ンマ スク 科 CE 和 ラメ 肖る 地 方 ンク テン Fr qt buy desu ひ Sb ー ー ー ya Al 分 ナー ルイ ン ワ ンマ スク 引 基 定 人 TikTok tobuy desu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919619560241699,0.0,0.0
41,369,1885.2059620596206,180.10788216120193,171.33101568900952,189.76769026428673,795,HB cosme ey 完 cosme チ ey プラ ンド コス メ スペ シャ ルイ ベン ト l 月 hck cosme スッ イル uaroche osa Before After グ 因 TikTok ゆ 宮 交 刻 ちゅ COW 際 時 ョ ョ ピロ り ー トニ Before After Before After y 駅 軸 科 電 間 上 コリ うし 人 べ ueou to ベジ っ ゴ 全会 員 様 対象 全 シ ョ ッ プ 対象 ゃ 辱い 狗 ワラ ソ ブ 掲 載 ア イデ テム 部 エリ ア 送料 無料 場 合 ざい 詳 く 商品 ペー ジ 確認 くだ さい 全会 員 様 対象 対象 ショ ッ プ 限定 N N UN AS MO o クー ポン 事前 配布 中 大 邊 ずる ダク ー ポ ン l r ュー コ ニュ ー クー クモ ポッ ちら 楽天 コス メ フ ェ ス 語 クー ポン 獲る 香 移 間 ヨ ぼ 先着 吾 gor MR 章 計 クー ボン 獲得 先 春 了 先 下 gqco 司 プー トー 算 人 号 BH 門 先 理 コ 先着 避 mor NOR クー ポン 獲る 待 守 クー ボン 下 得 ちる ボツ 日 ー nropdeh 楽天 コス メ フ ェ ス いま クー ボン 利用 状況 購入 手続 際 必ず 確認 くだ 対 家 ショ ッ プ キャ ン ペ ー ン 誠 邊,-0.5354166666666667,0.15755586326122284,0.0,0.0,0.0,0.0,0.0,0.0,0.8389031887054443,0.0,0.0
43,19,2706.157894736842,125.32323556768479,129.6584050509619,141.53535661646697,434,SEP ひ TikTok tobuy desu 題 浴 っ 方 ひ TikTok tobuy desu tobuy desu,0.0,0.0,0.9437380433082581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,620,998.7983870967741,154.5439363889327,156.06100194220474,159.90646625444117,2259,び tikto く ィ mmmm 北 tobuy des CC ミー アン ド ハ ー ミル キィ グロ スジ ェ ル 加計 ャ ッ 上 還 うい ト エ ェ ィ ィ トト kcse ム ひび TikTok 和 tobuy desu ヽ ミル キィ グロ スジ ェ ル 務め TU 理加 気 当 時 あさ すむ 記 ひ TikTok wet hajr 記 tobuy desu ミー アン ド ハ ー ミル キィ グロ スジ ェ ル 薩 必 琴 四 気 出し 時 あさ さめ ひ tok tobuy desu ミー アン ド ハ ー ミル キィ グロ スジ ェ ル 玩 人 t 形 回 気 出 時 あき さめ ひ tktok tobuy desu ひ TikTok tobuy desu PA PC EC 払 ひく ます 破ける そ 記 先 ッ ン せき け do SS 塗る 方 acb otn トト RE よい らい ミー アン ド ハ ー ミル キィ グロ スジ ェ ル モア シャ イン ひ TikTok tobuy desu ミー アン ド ハ ー ミル キィ グロ スジ ェ ル モア シャ イン 滞 衝 次 ひ TikTok tobuy desu ひ TikTok tobuy desu ひ TikTok tobuy desu ntore shime for wri huir sty び ktok tobuy desu 搬 バー ルル 欄 程度 ー CS 務 びら 全体 伸 TikTok lesu 人 でる り すす ヽ etobuy d 夫 すそ ろ り 和 m ひ TikTok tobuy desu 人 すす TikTok tobuy desu ひ TikTok duy desu 人 生生 ろ り すす 人 でる 和 ET スト レー ト 引 立つ リッ チ ザ ツ 人 出 tikt 和 人 すもも スト レー ト 引き 立つ リッ チ ゼ ツ 感 人 tobuw d スト レー ト 引 立つ リッ チ セツ 導 出 ー いで MS 委 伏 ぜ まり ひ TikTok 人 tobuy dlesk 選 NO AA らい PS 介 伏 まとまり 大 人 っ ぢ 混 敵 完成 ひ TikTok tobuy desu pamreh 半 tora 申 然 まず まり 到 大 人 っ 浦和 友 実 虚 び TikTok tobuy desu ちり 人 倒す ミーア ンド ハー あざ 毛 ステ ィ ッ ク びび TikTok tobuy desu ミー アン ド ハ ー あざ 毛 ス ティ ッ ク サ TikTok tobuy desu ひ TikTok tobuy desu on コー ム 和 失 使う あく 所 引 出 パサ つき 人 かり すま 全て AP すす り 湊 ツ 束 m wmee ひ TikTok tobuy desu ひ TikTok tohuy de び TikTok tobuy des せまい イ メー ジ する ウイ メー ジ,-0.125,0.0,0.997814953327179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,143,1523.062937062937,146.6161622315603,150.6986163183522,155.48994710828453,513,左 座 名 衣 凡 斉 例 民 座 窟 民 府 ちゃ 人 感 外 効果 保証 じゃ いで ジー 形 褒 ぁ 宮 人 っ きく 導 キー プロ ー 個人 感想 効果 保証 司 人 ー スト レー トマ ジ 神 個人 陸 維 効果 保証 竹 夫 じゃ いで 個人 破 想 効果 保証 じゃ いで 個人 破 想 効果 保証 じゃ いで 個人 保証 じゃ いで tobuy desu mm じゃ いで,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883089661598206,0.0,0.0
