,手入力,※1年前の数値は出せない,,満足度参考基準？,視聴達成率,140%以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,管理画面から自動入力,,,,ENG率,0.6%以上,,,,,,オーガニックも含めた再生回数,,,,,,,,,,,,,,,,,,,,,リプライ有,,,,,,リプライ無,,,,,,,,,,,,,,,,,
,関数,,,,コメント数,50件以上,,,,,★,★,,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,,,,
,,,,,いいね数,"10,000件以上",,リーチ、動画視聴の2本あるやつはキャンペーンIDを記載しない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,広告アカウントID,campaign_id,投稿日,配信目的,想定再生回数,実績再生回数,総額,配信予算,配信費用,想定再生単価,実績再生単価,視聴達成率,掲載単価(N),動画秒数,いいね,いいね率,コメント,コメント率,シェア,シェア率,保存,保存率,ENG数,ENG率,CPC,CPM,IMP数,CL数,CTR,リーチ数,リーチ率,FQ,動画視聴数,2秒視聴率,2秒動画再生数,6秒視聴率,6秒動画再生数,完全視聴率,再生完了数,75%(動画が再生された長さが),50%(動画が再生された長さが),25%(動画が再生された長さが),平均再生秒数,一人当たりの平均視聴時間,オーガニック再生数（実績ー広告配信mp）,リーチ単価,視聴単価,cpc,完全視聴単価,エンゲージ単価
,株式会社マンダム,CYQ,人中短縮メイク,メイクアップ,https://vt.tiktok.com/ZSLHKL36J/,配信中,7140505313186299906,1744565951429682,2022/09/26,動画視聴,"2,692,752","1,347,463","¥800,000","¥542,879","¥1,049,796",¥0.30,¥0.59,50.04%,,14,"15,476",1.15%,46,0.003%,71,0.005%,62,0.005%,"15,655",1.16%,¥107,¥367,"2,858,964","9,751",0.34%,"1,428,855",49.98%,2,"2,692,752",51.35%,"1,382,676",17.42%,"469,010",8.66%,"233,145","330,845","404,157","741,592",4.37,8.23,,¥0.6,,,,
,株式会社カネボウ化粧品	,KATE,3秒ブロウブラシ,メイクアップ,https://vt.tiktok.com/ZSRb1Lyvs/,配信中,7130831028008058881,1745031654716465,2022/09/28,動画視聴,"500,000","754,100","¥800,000","¥210,000",,¥1.60,¥1.06,150.82%,,17.07,"1,605",0.21%,5,0.001%,416,0.055%,49,0.006%,"2,075",0.28%,¥0,¥244,"2,859,569",0,0.00%,"1,937,339",67.75%,1.48,"2,717,405",77.20%,"2,097,960",32.85%,"892,711",16.06%,"436,314","702,941","822,684","1,396,488",7.14,10.02,,¥0.4,,,,
,株式会社カネボウ化粧品	,KATE,狙い撃ちシェードブラシ,メイクアップ,https://vt.tiktok.com/ZSRb16JF8/,配信中,7130831028008058881,1745031990354961,2022/09/28,動画視聴,"500,000","771,400","¥800,000","¥210,000",,¥1.60,¥1.04,154.28%,,15.19,"1,413",0.18%,10,0.001%,128,0.017%,36,0.005%,"1,587",0.21%,¥0,¥300,"1,690,520",0,0.00%,"944,468",55.87%,1.79,"1,554,762",58.85%,"914,948",23.01%,"357,714",5.28%,"82,077","183,692","277,787","652,257",5.71,9.40,,¥0.8,,,,
,株式会社カネボウ化粧品	,KATE,ぴたラメブラシ,メイクアップ,https://vt.tiktok.com/ZSRb1NM7T/,配信中,7130831028008058881,1745031358244881,2022/09/29,動画視聴,"500,000","724,300","¥800,000","¥210,000",,¥1.60,¥1.10,144.86%,,11.96,647,0.09%,4,0.001%,37,0.005%,23,0.003%,711,0.10%,¥0,¥259,"3,274,559",0,0.00%,"2,001,454",61.12%,1.64,"3,213,576",52.17%,"1,676,473",30.77%,"988,812",6.49%,"208,464","256,616","327,131","1,060,944",5.19,8.34,,¥0.4,,,,
,株式会社カネボウ化粧品	,DEW,アフターグロウドロップ,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7158401094358420737?_r=1&_t=8eJBFrP90sM,配信中,7148000443665367042,1747657218648098,2022/10/27,動画視聴,"2,000,000","2,400,000","¥2,500,000","¥760,000","¥757,339",¥1.25,¥1.04,120.00%,¥0.34,12.75,"17,680",0.74%,80,0.003%,117,0.005%,674,0.028%,"18,551",0.77%,¥86,¥336,"2,249,515","8,744",0.39%,"1,346,021",59.84%,1.67,"2,092,887",61.19%,"1,280,633",18.74%,"392,258",10.81%,"226,158","268,871","381,958","652,927",4.50,7.00,,¥0.6,,,,
,花王株式会社,ケープ,手櫛が通せるケープ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7165807338144697602?lang=ja-JP,配信終了,7151369742064861186,1749466413290529,2022/11/15,動画視聴,"2,000,000","2,800,000","¥2,500,000","¥760,000","¥376,373",¥1.25,¥0.89,140.00%,¥0.23,16.16,"50,000",1.79%,222,0.008%,93,0.003%,"1,909",0.068%,"52,224",1.87%,¥75,¥230,"1,629,979","4,969",0.30%,"1,039,308",63.76%,1.57,"1,527,770",59.64%,"911,200",28.83%,"440,384",14.49%,"221,333","332,362","387,771","620,852",5.97,8.77,"1,170,021",,,,,
,ベリタス販売株式会社,ラピッドラッシュ,ラピッドラッシュ,メイクアップ,https://vt.tiktok.com/ZSLHwhL7q/,配信中,7158255842058403842,1750374837752850,2022/11/24,動画視聴,"500,000","602,000","¥700,000","¥210,000","¥1,050,000",¥1.40,¥1.16,120.40%,¥0.33,19.97,"1,768",0.29%,5,0.001%,211,0.035%,55,0.009%,"2,039",0.34%,¥0,¥333,"3,149,516",0,0.00%,"1,461,610",46.41%,2.15,"3,132,115",40.85%,"1,279,555",13.07%,"409,237",6.18%,"193,462","271,662","384,699","606,132",4.02,8.61,"-2,547,516",¥1.7,,,,
,花王株式会社,エッセンシャル,バリアトリートメント,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwwkX9/,配信終了,7164268767529238529,1750919968478209,2022/12/01,動画視聴,"2,000,000","2,400,000","¥2,500,000","¥760,000","¥845,958",¥1.25,¥1.04,120.00%,¥0.34,14.77,"8,423",0.35%,50,0.002%,218,0.009%,181,0.008%,"8,872",0.37%,¥88,¥336,"2,513,659","9,559",0.38%,"1,283,547",51.06%,1.96,"2,432,027",35.58%,"865,265",14.38%,"349,670",7.39%,"179,772","252,616","307,269","478,632",3.79,7.19,"-113,659",,,,,
,株式会社カネボウ化粧品	,DEW,アフターグロウドロップ,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7176236040271760641?_r=1&_t=8eJBF14ijHr,配信中,7148000443665367043,1745638993584162,2022/12/06,動画視聴,"2,000,000","2,000,000","¥2,500,000","¥760,000",,¥1.25,¥1.25,100.00%,#DIV/0!,23.78,"3,302",0.17%,26,0.001%,66,0.003%,152,0.008%,"3,546",0.18%,,,,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,#DIV/0!,,,,
,花王株式会社,Liese,プレイフル,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHKL36J/,配信終了,7078872325327781890,1759156896541715,2022/12/09,動画視聴,"2,000,000","2,700,000","¥2,500,000","¥760,000","¥692,444",¥1.25,¥0.93,135.00%,¥0.30,16.95,"15,600",0.58%,104,0.004%,142,0.005%,"1,241",0.046%,"17,087",0.63%,¥0,¥298,"2,321,115",0,0.00%,"1,665,044",71.73%,1.39,"2,268,411",69.43%,"1,574,954",37.21%,"843,977",5.31%,"120,509","238,704","623,691","900,148",6.35,8.65,"378,885",,,,,
